Manuf;Model;Desc;Engine_Capacity;Fuel_Type;Powertrain;Euro_Standard;Diesel_VED_Supplement;Fuel_Cost;Electric_Cost;Total_Cost;Noise_Level
ALPINE;A110;A110 S DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,854;£0;£1,854;72.0
ALPINE;A110;A110 Tour de Corse Edition;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;72.0
ALPINE;A110;A110 Tour de Corse Edition;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;72.0
ALPINE;A110;Color Edition 2020;1799;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,935;£0;£1,935;71.0
ALPINE;A110;Color Edition 2020;1799;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,935;£0;£1,935;71.0
ALPINE;A110;Légende;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,854;£0;£1,854;71.0
ALPINE;A110;Légende;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,854;£0;£1,854;71.0
ALPINE;A110;Légende;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,935;£0;£1,935;71.0
ALPINE;A110;Légende;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,962;£0;£1,962;71.0
ALPINE;A110;Légende GT;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,935;£0;£1,935;71.0
ALPINE;A110;Légende GT;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,935;£0;£1,935;71.0
ALPINE;A110;Pure;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,854;£0;£1,854;71.0
ALPINE;A110;Pure;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,854;£0;£1,854;71.0
ALPINE;A110;Pure;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,935;£0;£1,935;71.0
ALPINE;A110;Pure;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,962;£0;£1,962;71.0
ALPINE;A110;S;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,935;£0;£1,935;71.0
ALPINE;A110;S;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d-TEMP;False;£1,989;£0;£1,989;71.0
ASTON MARTIN LAGONDA;DB11 2021MY;DB11 V12 AMR RWD Automatic Coupe;5204;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,601;£0;£3,601;70.3
ASTON MARTIN LAGONDA;DB11 2021MY;DB11 V8 RWD Automatic Convertible;3982;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,037;£0;£3,037;73.0
ASTON MARTIN LAGONDA;DB11 2021MY;DB11 V8 RWD Automatic Coupe;3982;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,010;£0;£3,010;72.0
ASTON MARTIN LAGONDA;DBS Superleggera 2021MY;DBS RWD Automatic Convertible;5204;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,628;£0;£3,628;71.0
ASTON MARTIN LAGONDA;DBS Superleggera 2021MY;DBS RWD Automatic Coupe;5204;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,628;£0;£3,628;72.0
ASTON MARTIN LAGONDA;DBX V8 MY2021;Hatchback;3982;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,843;£0;£3,843;73.0
ASTON MARTIN LAGONDA;DBX707 MY2023;DBX707 GPF Hatchback;3982;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,816;£0;£3,816;71.0
ASTON MARTIN LAGONDA;Speedster;Open Sportscar;5204;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,548;£0;£3,548;74.0
ASTON MARTIN LAGONDA;Vantage 2021MY;Vantage F1 Edition Automatic Convertible;3982;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,118;£0;£3,118;74.0
ASTON MARTIN LAGONDA;Vantage 2021MY;Vantage F1 Edition Automatic Hatchback;3982;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,118;£0;£3,118;72.0
ASTON MARTIN LAGONDA;Vantage 2021MY;Vantage RWD Automatic Convertible;3982;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,118;£0;£3,118;74.0
ASTON MARTIN LAGONDA;Vantage 2021MY;Vantage RWD Automatic Hatchback;3982;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,118;£0;£3,118;72.0
ASTON MARTIN LAGONDA;Vantage 2021MY;Vantage RWD Manual Hatchback;3982;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,252;£0;£3,252;72.0
BENTLEY MOTORS;Bentayga MY21;Bentayga Hybrid;2995;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£914;£1,163;£2,076;68.0
BENTLEY MOTORS;Bentayga V8 22MY;Bentayga V8;3996;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,494;£0;£3,494;74.0
BENTLEY MOTORS;Continental GT MY22;Continental GT Speed;5950;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,682;£0;£3,682;71.0
BENTLEY MOTORS;Continental GT MY22;Continental GT Speed Convertible;5950;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,789;£0;£3,789;71.0
BENTLEY MOTORS;Continental GT V8 MY22;Continental GT V8;3996;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,252;£0;£3,252;68.0
BENTLEY MOTORS;Continental GT V8 MY22;Continental GT V8 Convertible;3996;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£3,386;£0;£3,386;68.0
